1,1,836.99,6
1,10,837.12,1
1,11,1124.26,6
1,13,609.20,6
1,14,1435.38,2
1,15,836.28,14
1,16,446.62,14
1,17,311.06,1
1,18,1256.57,0
1,19,780.65,1
1,2,1103.47,12
1,20,945.51,5
1,21,356.13,6
1,22,1015.95,2
1,23,394.04,2
1,24,522.73,7
1,25,33.50,6
1,26,1345.37,9
1,27,405.40,0
1,28,130.43,7
1,29,1151.28,2
1,3,310.83,11
1,30,671.75,14
1,5,333.71,1
1,6,247.96,14
1,7,1135.30,6
1,8,521.07,5
2,1,1328.19,5
2,10,791.70,11
2,11,766.96,3
2,12,1291.80,7
2,13,108.30,11
2,14,573.31,7
2,15,721.09,5
2,16,878.23,9
2,17,883.55,5
2,18,575.75,4
2,19,1328.35,5
2,2,786.31,10
2,20,895.76,6
2,21,1406.52,1
2,22,373.31,11
2,24,425.10,14
2,25,739.02,4
2,26,397.92,12
2,27,925.57,4
2,29,935.66,5
2,3,994.35,0
2,4,540.56,12
2,5,773.55,6
2,6,379.06,6
2,7,766.67,2
2,8,979.27,0
2,9,993.63,12
3,10,1154.68,2
3,12,345.01,3
3,13,262.20,15
3,14,822.33,13
3,15,358.01,13
3,16,1260.45,2
3,17,1490.37,3
3,18,205.56,0
3,19,1474.87,11
3,20,552.02,9
3,21,658.52,0
3,23,100.95,9
3,24,1209.59,12
3,25,585.27,3
3,26,856.22,4
3,28,1179.01,6
3,29,939.55,4
3,3,1408.80,10
3,30,280.91,3
3,4,343.18,9
3,5,168.13,4
3,6,120.44,0
3,8,1034.46,3
3,9,991.41,10
4,1,970.45,3
4,10,361.22,1
4,11,104.17,7
4,12,976.20,14
4,13,522.32,8
4,14,252.01,6
4,15,983.49,6
4,16,516.77,9
4,17,1018.36,15
4,18,1060.24,11
4,19,1208.90,3
4,2,662.19,13
4,20,351.24,12
4,21,1242.28,10
4,22,1450.74,5
4,23,298.92,0
4,25,1069.61,11
4,26,398.11,15
4,27,91.65,8
4,28,927.96,7
4,3,1294.84,12
4,30,534.35,11
4,4,1033.91,14
4,5,355.71,3
4,6,1171.18,1
4,7,488.54,10
4,8,1061.15,5
4,9,1046.20,13
5,1,903.48,13
5,10,885.81,10
5,11,61.84,11
5,12,1203.53,2
5,13,1381.76,2
5,14,720.05,13
5,15,1347.20,8
5,16,126.82,0
5,17,980.50,1
5,18,945.18,7
5,19,554.02,7
5,2,375.59,8
5,20,437.72,6
5,22,1029.24,5
5,23,796.89,2
5,25,1370.48,6
5,26,758.14,13
5,27,787.81,14
5,28,800.89,12
5,29,975.81,8
5,3,866.69,2
5,30,1487.03,6
5,4,568.88,14
5,5,645.44,2
5,7,1298.03,4
5,8,882.78,4
