film_id,category_id
19,1
21,1
29,1
38,1
56,1
67,1
97,1
105,1
111,1
115,1
126,1
130,1
162,1
194,1
205,1
210,1
212,1
229,1
250,1
252,1
253,1
271,1
287,1
292,1
303,1
318,1
327,1
329,1
360,1
371,1
375,1
395,1
417,1
501,1
511,1
530,1
542,1
549,1
574,1
579,1
586,1
594,1
659,1
664,1
697,1
707,1
717,1
732,1
748,1
793,1
794,1
802,1
823,1
825,1
838,1
850,1
869,1
911,1
915,1
927,1
964,1
968,1
982,1
991,1
18,2
23,2
36,2
70,2
78,2
89,2
118,2
121,2
134,2
154,2
160,2
193,2
208,2
223,2
239,2
241,2
243,2
245,2
259,2
268,2
300,2
314,2
325,2
326,2
330,2
349,2
355,2
402,2
430,2
433,2
456,2
461,2
464,2
470,2
489,2
510,2
541,2
564,2
569,2
582,2
583,2
615,2
644,2
649,2
651,2
690,2
692,2
693,2
696,2
703,2
743,2
805,2
816,2
820,2
849,2
859,2
865,2
880,2
886,2
887,2
892,2
901,2
916,2
953,2
963,2
986,2
48,3
59,3
66,3
68,3
110,3
124,3
149,3
152,3
157,3
168,3
191,3
214,3
238,3
280,3
304,3
328,3
343,3
344,3
354,3
356,3
370,3
373,3
392,3
409,3
423,3
424,3
450,3
468,3
485,3
491,3
505,3
509,3
515,3
547,3
553,3
573,3
588,3
608,3
626,3
688,3
735,3
755,3
761,3
768,3
786,3
801,3
833,3
852,3
853,3
864,3
873,3
883,3
889,3
896,3
918,3
928,3
955,3
959,3
993,3
999,3
14,4
37,4
60,4
91,4
116,4
131,4
166,4
180,4
184,4
190,4
196,4
228,4
249,4
266,4
297,4
341,4
346,4
357,4
358,4
425,4
432,4
445,4
469,4
471,4
480,4
482,4
484,4
487,4
512,4
523,4
525,4
536,4
537,4
548,4
554,4
578,4
611,4
633,4
652,4
663,4
694,4
725,4
731,4
744,4
808,4
815,4
828,4
843,4
862,4
874,4
891,4
895,4
899,4
950,4
951,4
962,4
970,4
7,5
28,5
99,5
119,5
127,5
159,5
178,5
182,5
188,5
202,5
242,5
247,5
265,5
276,5
308,5
317,5
324,5
332,5
335,5
365,5
385,5
388,5
404,5
410,5
413,5
443,5
444,5
478,5
502,5
522,5
524,5
529,5
555,5
568,5
604,5
613,5
638,5
657,5
660,5
672,5
680,5
704,5
754,5
756,5
765,5
774,5
814,5
837,5
857,5
858,5
871,5
905,5
906,5
932,5
938,5
939,5
978,5
1000,5
1,6
3,6
40,6
58,6
62,6
72,6
85,6
101,6
129,6
142,6
150,6
156,6
164,6
199,6
206,6
219,6
221,6
248,6
261,6
274,6
295,6
336,6
393,6
400,6
407,6
412,6
427,6
441,6
457,6
466,6
497,6
544,6
552,6
571,6
575,6
576,6
587,6
589,6
616,6
622,6
627,6
629,6
650,6
670,6
687,6
698,6
708,6
712,6
713,6
734,6
757,6
776,6
788,6
791,6
812,6
834,6
855,6
888,6
925,6
926,6
943,6
945,6
952,6
960,6
966,6
973,6
992,6
996,6
33,7
61,7
64,7
79,7
98,7
107,7
143,7
146,7
172,7
173,7
179,7
186,7
204,7
209,7
218,7
225,7
230,7
272,7
282,7
366,7
368,7
379,7
396,7
401,7
403,7
418,7
439,7
473,7
504,7
514,7
521,7
539,7
585,7
618,7
630,7
643,7
662,7
666,7
683,7
706,7
709,7
728,7
739,7
758,7
766,7
771,7
772,7
775,7
790,7
803,7
818,7
827,7
882,7
897,7
907,7
910,7
923,7
942,7
944,7
958,7
969,7
979,7
5,8
31,8
43,8
50,8
53,8
63,8
71,8
80,8
82,8
83,8
94,8
139,8
145,8
147,8
175,8
183,8
213,8
231,8
262,8
269,8
273,8
309,8
315,8
345,8
348,8
359,8
377,8
391,8
419,8
428,8
437,8
442,8
458,8
476,8
479,8
498,8
499,8
528,8
534,8
550,8
557,8
603,8
610,8
617,8
621,8
634,8
639,8
679,8
682,8
695,8
700,8
710,8
715,8
724,8
727,8
736,8
753,8
778,8
780,8
795,8
810,8
822,8
824,8
829,8
832,8
866,8
867,8
946,8
975,8
6,9
11,9
15,9
16,9
47,9
52,9
100,9
104,9
112,9
128,9
148,9
170,9
185,9
192,9
198,9
201,9
207,9
246,9
290,9
311,9
337,9
353,9
376,9
380,9
399,9
414,9
416,9
421,9
431,9
435,9
440,9
452,9
455,9
459,9
460,9
467,9
486,9
493,9
500,9
531,9
533,9
545,9
565,9
566,9
567,9
584,9
595,9
605,9
607,9
623,9
640,9
641,9
661,9
669,9
674,9
689,9
705,9
726,9
738,9
769,9
770,9
789,9
792,9
821,9
845,9
900,9
908,9
929,9
947,9
957,9
961,9
971,9
984,9
46,10
106,10
117,10
141,10
189,10
200,10
211,10
215,10
217,10
227,10
232,10
236,10
264,10
281,10
302,10
306,10
310,10
316,10
331,10
352,10
362,10
381,10
382,10
387,10
406,10
408,10
438,10
447,10
483,10
507,10
508,10
546,10
556,10
560,10
563,10
591,10
596,10
597,10
614,10
624,10
646,10
654,10
684,10
699,10
701,10
742,10
746,10
747,10
762,10
781,10
807,10
835,10
840,10
842,10
861,10
919,10
934,10
941,10
949,10
956,10
976,10
2,11
4,11
8,11
9,11
13,11
24,11
30,11
34,11
35,11
65,11
92,11
122,11
171,11
222,11
258,11
275,11
277,11
301,11
313,11
334,11
351,11
415,11
475,11
494,11
495,11
506,11
527,11
535,11
593,11
600,11
653,11
658,11
665,11
702,11
716,11
722,11
737,11
740,11
749,11
799,11
800,11
804,11
830,11
854,11
856,11
870,11
876,11
881,11
885,11
904,11
909,11
922,11
965,11
990,11
995,11
998,11
12,12
17,12
20,12
51,12
54,12
74,12
76,12
86,12
133,12
158,12
161,12
174,12
220,12
244,12
255,12
278,12
284,12
333,12
363,12
378,12
384,12
398,12
411,12
426,12
454,12
462,12
477,12
516,12
540,12
562,12
581,12
592,12
636,12
647,12
673,12
718,12
721,12
741,12
752,12
767,12
797,12
819,12
877,12
879,12
884,12
921,12
936,12
980,12
983,12
987,12
997,12
22,13
25,13
32,13
45,13
77,13
90,13
93,13
95,13
96,13
108,13
109,13
136,13
144,13
155,13
163,13
216,13
226,13
251,13
267,13
270,13
283,13
289,13
305,13
320,13
321,13
340,13
364,13
436,13
448,13
465,13
481,13
490,13
492,13
538,13
551,13
558,13
561,13
580,13
590,13
632,13
635,13
675,13
677,13
685,13
686,13
720,13
730,13
750,13
751,13
759,13
760,13
806,13
846,13
847,13
913,13
920,13
933,13
935,13
937,13
948,13
954,13
974,13
994,13
26,14
39,14
44,14
49,14
55,14
69,14
73,14
81,14
114,14
132,14
137,14
138,14
140,14
151,14
153,14
165,14
177,14
195,14
203,14
234,14
235,14
240,14
285,14
296,14
298,14
312,14
319,14
338,14
350,14
367,14
369,14
374,14
390,14
394,14
397,14
422,14
449,14
520,14
559,14
572,14
602,14
620,14
625,14
637,14
655,14
711,14
714,14
723,14
798,14
817,14
831,14
839,14
860,14
863,14
893,14
912,14
924,14
930,14
967,14
972,14
985,14
10,15
27,15
42,15
102,15
113,15
120,15
135,15
176,15
187,15
197,15
237,15
254,15
256,15
260,15
263,15
279,15
291,15
293,15
322,15
323,15
361,15
372,15
383,15
389,15
420,15
429,15
446,15
453,15
463,15
474,15
488,15
503,15
517,15
519,15
532,15
570,15
577,15
598,15
599,15
606,15
612,15
619,15
628,15
631,15
667,15
668,15
671,15
676,15
678,15
681,15
691,15
719,15
729,15
733,15
745,15
763,15
764,15
773,15
777,15
779,15
782,15
796,15
809,15
813,15
836,15
841,15
844,15
851,15
875,15
890,15
898,15
902,15
917,15
940,15
41,16
57,16
75,16
84,16
87,16
88,16
103,16
123,16
125,16
167,16
169,16
181,16
224,16
233,16
257,16
286,16
288,16
294,16
299,16
307,16
339,16
342,16
347,16
386,16
405,16
434,16
451,16
472,16
496,16
513,16
518,16
526,16
543,16
601,16
609,16
642,16
645,16
648,16
656,16
783,16
784,16
785,16
787,16
811,16
826,16
848,16
868,16
872,16
878,16
894,16
903,16
914,16
931,16
977,16
981,16
988,16
989,16
