1,USPS,2.98
2,UPS,4.83
3,USPS,9.68
4,UPS,6.34
5,FedEx,10.09
6,UPS,3.13
7,UPS,3.97
8,FedEx,0.36
9,USPS,8.51
10,FedEx,10.86
11,UPS,6.10
12,FedEx,11.68
13,FedEx,2.17
14,FedEx,8.02
15,FedEx,7.16
16,USPS,5.59
17,UPS,14.34
18,UPS,6.81
19,UPS,1.72
20,USPS,14.40
21,UPS,9.56
22,UPS,14.65
23,FedEx,8.06
24,UPS,8.54
25,USPS,10.10
26,FedEx,11.46
27,USPS,2.15
28,UPS,7.72
29,USPS,10.24
30,FedEx,3.32
31,FedEx,0.96
32,USPS,14.51
33,USPS,5.59
34,USPS,2.37
35,USPS,9.55
36,FedEx,6.64
37,UPS,5.11
38,USPS,12.55
39,UPS,14.94
40,UPS,13.09
41,USPS,13.34
42,USPS,4.50
43,USPS,13.96
44,USPS,14.66
45,UPS,10.52
46,USPS,9.87
47,USPS,7.43
48,FedEx,8.73
49,UPS,1.56
50,FedEx,5.74
51,UPS,1.73
52,FedEx,10.89
53,FedEx,2.39
54,USPS,14.36
55,UPS,2.84
56,USPS,13.54
57,USPS,1.39
58,UPS,12.35
59,FedEx,5.87
60,FedEx,8.33
61,UPS,10.94
62,UPS,11.03
63,FedEx,0.21
64,UPS,13.73
65,USPS,10.68
66,UPS,8.65
67,UPS,8.58
68,FedEx,1.73
69,FedEx,11.66
70,FedEx,8.35
71,UPS,4.13
72,UPS,5.74
73,FedEx,4.14
74,USPS,12.66
75,UPS,1.55
76,USPS,13.78
77,USPS,6.66
78,USPS,3.16
79,USPS,10.70
80,UPS,7.33
81,FedEx,9.29
82,USPS,0.07
83,UPS,1.94
84,FedEx,12.31
85,USPS,14.75
86,UPS,7.31
87,UPS,1.15
88,USPS,4.42
89,UPS,7.79
90,USPS,11.48
91,UPS,2.42
92,USPS,11.74
93,UPS,9.75
94,UPS,10.42
95,USPS,4.41
96,USPS,11.99
97,UPS,13.81
98,USPS,8.01
99,USPS,9.01
100,FedEx,10.09
101,UPS,6.39
102,USPS,2.80
103,USPS,1.32
104,UPS,13.68
105,FedEx,5.31
106,UPS,10.50
107,UPS,9.36
108,UPS,12.64
109,USPS,12.52
110,FedEx,8.67
111,UPS,1.10
112,UPS,8.84
113,USPS,4.08
114,UPS,2.11
115,FedEx,8.39
116,USPS,9.87
117,UPS,13.37
118,USPS,14.52
119,FedEx,10.50
120,USPS,1.95
121,FedEx,6.48
122,UPS,4.84
123,UPS,13.30
124,USPS,11.19
125,USPS,5.73
126,USPS,12.61
127,USPS,4.80
128,FedEx,8.58
129,USPS,9.22
130,FedEx,8.39
131,FedEx,11.70
132,USPS,9.70
133,USPS,2.07
134,USPS,4.62
135,UPS,8.88
136,USPS,3.65
137,FedEx,2.86
138,FedEx,7.58
139,FedEx,8.16
140,USPS,10.73
141,USPS,14.09
142,USPS,10.33
143,UPS,1.64
144,FedEx,14.83
145,FedEx,14.69
146,USPS,6.77
147,USPS,1.53
148,FedEx,2.98
149,FedEx,1.43
150,FedEx,4.89
151,UPS,8.00
152,USPS,1.89
153,FedEx,8.75
154,USPS,14.43
155,FedEx,0.85
156,UPS,8.14
157,USPS,7.49
158,FedEx,9.69
159,USPS,0.27
160,USPS,12.76
161,USPS,1.82
162,FedEx,6.03
163,FedEx,13.30
164,USPS,1.85
165,UPS,5.42
166,UPS,6.41
167,USPS,5.44
168,USPS,6.08
169,UPS,8.52
170,FedEx,6.35
171,USPS,3.83
172,FedEx,5.93
173,USPS,2.31
174,FedEx,0.03
175,FedEx,6.22
176,FedEx,9.47
177,UPS,12.86
178,UPS,5.06
179,USPS,12.38
180,USPS,0.47
181,USPS,10.99
182,USPS,4.81
183,UPS,9.54
184,FedEx,13.82
185,USPS,8.03
186,FedEx,7.59
187,USPS,6.06
188,UPS,2.26
189,USPS,10.66
190,USPS,3.41
191,FedEx,0.68
192,UPS,5.42
193,USPS,4.53
194,UPS,7.10
195,FedEx,8.37
196,FedEx,3.88
197,USPS,6.88
198,USPS,6.57
199,UPS,12.98
200,FedEx,13.30
201,FedEx,4.41
202,UPS,6.24
203,UPS,14.43
204,USPS,7.22
205,USPS,7.01
206,USPS,3.62
207,FedEx,7.56
208,USPS,2.74
209,UPS,4.23
210,FedEx,6.90
211,FedEx,0.36
212,UPS,9.45
213,UPS,2.79
214,USPS,8.71
215,FedEx,12.43
216,FedEx,13.59
217,FedEx,3.87
218,USPS,5.76
219,FedEx,5.09
220,UPS,8.39
221,USPS,8.61
222,FedEx,8.13
223,USPS,9.28
224,USPS,0.44
225,FedEx,5.18
226,USPS,2.12
227,FedEx,1.37
228,UPS,1.41
229,USPS,4.61
230,UPS,4.28
231,UPS,0.98
232,USPS,3.62
233,FedEx,12.10
234,FedEx,0.95
235,FedEx,9.47
236,UPS,13.89
237,FedEx,14.93
238,USPS,0.12
239,FedEx,10.92
240,UPS,5.75
241,USPS,11.58
242,UPS,8.09
243,UPS,0.39
244,UPS,1.21
245,FedEx,10.02
246,USPS,4.19
247,USPS,10.29
248,FedEx,14.20
249,USPS,8.85
250,USPS,8.98
251,USPS,8.52
252,USPS,9.75
253,UPS,9.26
254,USPS,9.11
255,USPS,8.72
256,FedEx,9.97
257,UPS,8.37
258,UPS,5.72
259,FedEx,11.07
260,UPS,5.76
261,UPS,13.37
262,USPS,2.20
263,USPS,5.10
264,FedEx,6.94
265,USPS,0.55
266,UPS,0.69
267,UPS,4.60
268,FedEx,13.78
269,USPS,8.56
270,FedEx,5.88
271,UPS,8.60
272,UPS,3.49
273,USPS,1.44
274,USPS,0.14
275,FedEx,12.03
276,USPS,0.92
277,USPS,11.37
278,FedEx,6.30
279,USPS,6.17
280,UPS,4.17
281,USPS,1.34
282,USPS,11.87
283,UPS,3.30
284,FedEx,3.39
285,UPS,12.63
286,FedEx,13.41
287,FedEx,6.34
288,UPS,8.28
289,USPS,12.93
290,FedEx,7.49
291,FedEx,3.29
292,FedEx,2.42
293,USPS,4.46
294,UPS,12.50
295,FedEx,13.09
296,UPS,13.63
297,USPS,8.50
298,UPS,3.12
299,UPS,6.32
300,FedEx,11.30
301,FedEx,3.35
302,UPS,13.41
303,FedEx,14.97
304,FedEx,3.49
305,UPS,14.26
306,UPS,8.43
307,UPS,6.96
308,UPS,14.77
309,UPS,13.48
310,FedEx,1.21
311,UPS,8.29
312,FedEx,9.60
313,FedEx,13.13
314,USPS,9.48
315,FedEx,12.59
316,USPS,4.38
317,FedEx,2.98
318,UPS,11.13
319,FedEx,4.74
320,UPS,2.70
321,USPS,8.17
322,UPS,10.34
323,UPS,12.17
324,UPS,12.82
325,FedEx,3.77
326,USPS,9.59
327,USPS,4.55
328,UPS,4.85
329,USPS,11.73
330,USPS,9.34
331,UPS,7.86
332,USPS,11.39
333,UPS,7.08
334,FedEx,14.53
335,FedEx,7.52
336,FedEx,13.92
337,UPS,3.70
338,FedEx,8.07
339,FedEx,13.65
340,FedEx,8.23
341,UPS,10.39
342,UPS,6.84
343,FedEx,3.00
344,FedEx,4.60
345,FedEx,14.48
346,FedEx,3.25
347,USPS,6.31
