1,11
1,28
1,8
10,16
10,20
10,23
10,25
10,26
100,10
100,21
101,16
101,25
101,30
101,6
102,16
102,23
103,19
103,27
103,29
104,13
104,19
104,25
105,13
105,25
105,26
105,8
106,18
106,2
106,21
106,26
106,30
106,7
107,11
107,14
107,16
107,22
107,8
108,18
108,24
108,26
108,30
109,1
109,16
109,27
109,30
109,6
109,8
11,15
11,18
110,18
110,26
111,23
111,25
112,15
112,3
112,7
113,18
113,2
113,3
113,7
114,10
114,12
114,9
115,12
115,15
115,26
115,28
116,14
116,19
116,2
116,8
116,9
117,21
117,23
117,27
117,9
118,16
118,20
118,25
118,5
119,19
119,25
119,26
119,27
119,7
12,10
12,29
12,4
120,2
120,5
121,11
121,16
121,2
121,26
121,5
122,13
122,14
122,28
122,30
123,12
123,22
123,23
123,26
123,9
124,15
124,27
125,12
125,19
125,20
125,26
125,5
126,1
126,12
126,18
126,22
126,9
127,25
128,15
129,22
13,4
13,8
130,24
130,27
130,9
131,1
131,14
131,19
131,28
131,4
132,18
132,22
132,3
133,18
133,23
133,28
133,29
133,6
133,7
134,21
134,22
134,3
136,12
136,3
137,19
137,8
138,11
138,16
138,26
138,27
138,30
138,7
138,9
139,1
139,15
139,27
139,3
139,30
139,5
14,11
14,26
140,1
140,13
140,17
140,4
141,11
141,25
141,28
141,5
141,6
142,1
142,2
142,20
142,3
143,22
143,6
144,15
144,20
144,24
144,5
145,14
145,5
145,6
146,13
146,21
146,26
146,7
147,11
147,15
147,17
147,2
147,4
148,15
148,2
148,22
148,24
148,3
149,24
149,29
15,11
15,16
15,26
15,5
150,19
151,10
151,13
151,2
151,6
152,19
152,21
152,23
152,30
152,6
153,15
153,17
153,19
153,21
153,22
153,5
153,6
154,2
154,28
154,7
155,17
155,20
156,1
156,17
156,21
156,23
157,13
157,18
157,24
157,30
157,5
158,11
158,13
158,24
158,25
158,26
158,8
16,21
16,28
160,12
160,15
160,24
160,5
161,1
161,21
161,26
162,2
162,26
163,15
163,16
164,10
164,16
164,17
164,24
164,27
165,11
165,13
165,14
165,25
166,13
166,20
166,21
166,29
167,16
167,19
167,8
168,11
168,13
168,2
169,10
169,2
169,3
169,8
17,11
17,13
17,18
17,27
17,28
17,5
170,11
170,22
171,22
171,30
171,7
172,14
172,28
172,29
173,10
173,27
173,3
173,6
174,1
174,15
174,17
174,20
174,5
175,1
175,12
175,19
175,24
175,25
175,28
175,5
176,15
176,17
176,18
176,22
176,27
176,3
176,7
177,2
177,6
177,8
178,1
178,12
178,26
178,5
179,11
179,15
179,20
179,21
179,26
179,3
18,18
18,19
18,29
180,10
180,23
181,11
181,13
181,20
181,8
182,12
182,2
182,3
182,6
182,8
183,1
183,15
183,19
183,21
183,29
184,4
184,9
185,11
185,26
186,14
186,19
186,20
186,26
186,9
188,1
188,13
189,15
189,2
189,25
189,27
189,28
189,7
19,1
19,18
19,4
19,6
190,11
190,15
190,19
190,26
190,3
190,5
190,8
191,12
191,22
191,27
191,28
191,8
192,13
192,15
192,17
192,21
193,24
193,6
193,8
194,14
194,21
194,22
194,25
194,28
194,30
195,13
195,14
195,18
195,23
195,3
195,4
196,14
196,23
196,26
196,28
196,4
197,18
198,2
198,28
198,3
198,5
199,6
199,8
2,12
2,27
2,28
20,1
20,22
20,8
200,11
200,13
202,14
202,15
202,17
202,23
202,26
202,7
203,13
203,23
203,7
204,16
204,30
205,1
205,17
206,16
206,17
206,28
207,11
207,13
207,18
207,2
207,3
207,9
208,22
208,26
208,28
209,1
209,12
209,23
209,26
209,8
21,12
21,19
21,20
21,25
21,29
21,30
210,1
210,11
210,13
210,26
210,27
210,30
210,7
211,16
211,19
211,23
211,24
211,25
212,1
212,14
212,21
212,28
212,4
213,19
213,22
213,4
214,12
214,16
214,17
214,24
214,4
214,6
215,2
215,8
216,12
216,13
216,20
216,21
216,23
216,6
216,8
217,12
217,14
217,16
217,25
217,7
218,14
218,15
218,29
218,9
219,21
219,23
219,30
22,19
22,6
220,15
220,2
221,10
221,14
221,18
221,2
221,21
221,29
221,9
222,14
222,16
222,25
222,5
223,16
223,19
223,4
224,1
224,7
225,22
225,30
225,8
225,9
226,12
226,18
226,19
226,24
226,4
227,18
227,26
227,6
228,17
228,23
229,17
229,4
23,1
23,11
23,14
23,15
23,18
23,20
23,25
23,27
230,10
